,antecedents,consequents,support,confidence,lift
0,ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0542995212380589,0.6015721969383533,1.0082835308957736
7,SEXO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
8,ESTATUS_VICTIMA=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
9,ENTIDAD=JALISCO,SEXO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
10,SEXO=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
11,MUNICIPIO=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
12,SEXO=HOMBRE,ESTATUS_VICTIMA=DESAPARECIDA,0.4541889802594725,0.940370519283704,1.5761368500060997
13,ESTATUS_VICTIMA=DESAPARECIDA,SEXO=HOMBRE,0.4541889802594725,0.7612573703383783,1.5761368500060997
14,GRUPO_EDAD=50+,SEXO=HOMBRE,0.0790666756294487,0.8755996691480563,1.81287559000442
15,SEXO=HOMBRE,GRUPO_EDAD=31-50,0.1671260092466034,0.3460241858163486,1.7246078310834037
16,GRUPO_EDAD=31-50,SEXO=HOMBRE,0.1671260092466034,0.8329672784126867,1.7246078310834037
17,GRUPO_EDAD=18-30,SEXO=HOMBRE,0.0634266209564782,0.6781122734169128,1.4039900094480904
18,SEXO=MUJER,ESTATUS_VICTIMA=DESAPARECIDA,0.139796992986623,0.9493304930006088,1.5911544887566815
19,ENTIDAD=JALISCO,ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
20,MUNICIPIO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
21,ESTATUS_VICTIMA=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
22,ENTIDAD=ESTADO DE MÉXICO,ESTATUS_VICTIMA=DESAPARECIDA,0.0775131267412071,0.7235080870050195,1.2126579192153455
23,ENTIDAD=TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0608423521327686,0.6055605114481118,1.014968267751447
24,GRUPO_EDAD=50+,ESTATUS_VICTIMA=DESAPARECIDA,0.0841082405311942,0.9314309346567412,1.5611533850150483
25,GRUPO_EDAD=31-50,ESTATUS_VICTIMA=DESAPARECIDA,0.1882184229984987,0.9380932881658788,1.572320026948398
26,ESTATUS_VICTIMA=DESAPARECIDA,GRUPO_EDAD=31-50,0.1882184229984987,0.3154692605250309,1.572320026948398
27,GRUPO_EDAD=18-30,ESTATUS_VICTIMA=DESAPARECIDA,0.087439407858866,0.9348398945939472,1.5668670768705923
28,AÑO_DESAPARICION=2025.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0511774854914965,0.9985426989215972,1.6736381158287437
29,AÑO_DESAPARICION=2024.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0598415081374592,0.9960218796618596,1.6694130193949426
30,ENTIDAD=JALISCO,MUNICIPIO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
32,"ENTIDAD=TAMAULIPAS', 'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS",ESTATUS_VICTIMA=DESAPARECIDA,0.0539335409711174,0.6014492753623188,1.0080775044182568
36,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
37,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
38,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
39,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
40,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
41,"MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
42,SEXO=CONFIDENCIAL,"MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
43,MUNICIPIO=CONFIDENCIAL,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
44,ESTATUS_VICTIMA=CONFIDENCIAL,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
45,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
46,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
47,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
48,"SEXO=HOMBRE', 'GRUPO_EDAD=50+",ESTATUS_VICTIMA=DESAPARECIDA,0.0734275919245333,0.9286793878707728,1.5565415706344956
49,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=50+",SEXO=HOMBRE,0.0734275919245333,0.8730130539028507,1.8075201612577083
50,GRUPO_EDAD=50+,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.0734275919245333,0.8131513647642681,1.790337062558684
51,"SEXO=HOMBRE', 'GRUPO_EDAD=31-50",ESTATUS_VICTIMA=DESAPARECIDA,0.1566619612060917,0.9373882731498034,1.571138364907897
52,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",GRUPO_EDAD=31-50,0.1566619612060917,0.3449268212465055,1.719138492209764
53,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.1566619612060917,0.83234126984127,1.723311718603874
54,SEXO=HOMBRE,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",0.1566619612060917,0.3243590140104537,1.723311718603874
55,GRUPO_EDAD=31-50,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.1566619612060917,0.7808137587015599,1.719138492209764
56,"SEXO=HOMBRE', 'GRUPO_EDAD=18-30",ESTATUS_VICTIMA=DESAPARECIDA,0.0595800936610724,0.9393546867640132,1.5744342327558924
57,"GRUPO_EDAD=18-30', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.0595800936610724,0.6813872042367815,1.4107705535157573
58,GRUPO_EDAD=18-30,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.0595800936610724,0.6369879421863771,1.4024733533219451
59,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
60,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
61,ENTIDAD=JALISCO,"MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
62,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
63,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
64,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
65,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
66,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
67,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL","MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
68,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
